id_fornecedor;cnpj_fornecedor;fornecedor
For00035;31474414000186;BUTERI COMERCIO E REPRESENTACOES LTDA
For00036;04027894000750;DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.
For00037;05005873000100;PORTAL LTDA
For00038;14112327000160;BIOFAC INDUSTRIA, COMERCIO E REPRESENTACAO EIRELI
For00039;00874929000140;MED CENTER COMERCIAL LTDA
For00040;07118264000193;QUALITY MEDICAL COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00041;28911309000152;ESPIRITO SANTO DISTRIBUIDORA DE PRODUTOS HOSPITALARES EIRELI
For00042;22265663000170;N1 FARMA DISTRIBUIDORA DE MEDICAMENTOS EIRELI
For00043;10493969000103;TC ATUAL COMERCIO DE MEDICAMENTOS LTDA
For00044;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A
For00045;43940618000144;ELI LILLY DO BRASIL LTDA
For00046;27105456000172;MEDICENTRO COMERCIO DE MEDICAMENTOS - EIRELI
For00047;60318797000100;ASTRAZENECA DO BRASIL LTDA.
For00048;12499494000260;HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA.
For00049;02513899000171;GRIFOLS BRASIL LTDA
For00050;61613881000100;DAKIFILM COMERCIAL LTDA
For00051;57532343000114;L M FARMA INDUSTRIA E COMERCIO LTDA
For00052;01328535000159;CLASSMED - PRODUTOS HOSPITALARES LTDA - EPP
For00053;19886616000130;PAULO CESAR PEDROZO
For00054;23510282000172;BENEDITO NETO DE SOUSA FEITOSA - EPP
For00055;09580548001447;SEROMA FARMACIAS E PERFUMARIAS LTDA
For00056;23232280000169;ZUCK PAPEIS LTDA
For00057;30082076000174;ABSOLUTA SAUDE IMP. EXP. E COMERCIO DE PRODUTOS PARA SAUDE EIRELI
For00058;29775313000101;SO SAUDE PRODUTOS HOSPITALAR EIRELI
For00059;16682179000144;DISMENE DISTRIBUIDORA DE MEDICAMENTOS DO NORDESTE LTDA - ME
For00060;06282624000125;MEDCEDRAL COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES EIRELI
For00061;30641249000147;FABIO LUIZ BORGES - MEDICAMENTOS
For00062;17472278000164;GOLDENPLUS - COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA - EPP
For00063;03968926000163;MASIF ARTIGOS MEDICOS E HOSPITALARES LTDA
For00064;04847959000118;REALMED HOSPITALAR EIRELI - ME
For00065;05487170000166;PB FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00066;18489967000144;LB COMERCIO E SERVICOS LTDA
For00067;29010039000171;MONACO DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00068;05997927000161;MEDIC STOCK COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP
For00069;00175233000125;TRES LEOES MATERIAL HOSPITALAR LTDA
For00070;27360084000120;BH MED DISTRIBUIDORA HOSPITALAR LTDA
For00071;31401798000107;DENTAL BH BRASIL COMERCIO DE PRODUTOS ODONTO-MEDICO-HOSPITALAR EIRELI
For00072;17892706000108;GLOBAL COMERCIAL EIRELI
For00073;59403410000126;INTERJET COMERCIAL EIRELI
For00074;30898181000186;DOROTHY RODINI DENTAL
For00075;09224765000180;LIFE MED PRODUTOS HOSPITALARES EIRELI
For00076;32861890000112;LUIZ FERREIRA LEITE NETO - ME
For00077;13547970000153;ELISVANDIA MATOS DONINI - ME
For00078;07377489000164;FOX BRASIL COMERCIO DE MATERIAL HOSPITALAR EIRELI
For00079;27401513000160;DEVANT CARE COMERCIAL LTDA
For00080;05343029000190;MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA
For00081;25463374000174;MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA
For00082;08618163000144;GILMAR ARAUJO RODRIGUES - ME
For00083;28643008000195;SANTO REMEDIO -COMERCIO DE PRODUTOS MEDICO-HOSPITALAR EIRELI
For00084;31321329000188;CHM COMERCIO DE MEDICAMENTOS EIRELI
For00085;14271474000182;FRAGNARI DISTRIBUIDORA DE MEDICAMENTOS LTDA. - EPP
For00086;56081482000106;DIMEBRAS COMERCIAL HOSPITALAR LTDA
For00087;49228695000152;LUMAR COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA
For00088;05782733000149;CIAMED DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00089;11195057000100;AVAREMED DISTRIBUIDORA DE MEDICAMENTOS EIRELI - EPP
For00090;06968107000104;R.A.P.-APARECIDA - COMERCIO DE MEDICAMENTOS LTDA ME
For00091;02816696000154;PONTAMED FARMACEUTICA LTDA
For00092;31905076000190;RG2S DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00093;49351786000423;BAXTER HOSPITALAR LTDA
For00094;67729178000220;COMERCIAL CIRÚRGICA RIOCLARENSE LTDA
For00095;27657308000160;M B DE CARVALHO DROGARIA
For00096;49324221000104;FRESENIUS KABI BRASIL LTDA.
For00097;04755530000109;IRMAOS YOKOO ARACATUBA LTDA - EPP
For00098;26984213000199;R.A. MARTINS - DISTRIBUIDORA
For00099;30766874000115;CIRURGICA PARANAVAI - EIRELI
For00100;48791685000168;C.B.S. MEDICO CIENTIFICA S/A
For00101;04063331000121;CIRURGICA UNIAO LTDA
For00102;43575877000113;DROGARIA NOVA ESPERANCA LTDA
For00103;16921603000166;NOVO NORDISK PRODUCAO FARMACEUTICA DO BRASIL LTDA.
For00104;32421421000182;MULTIHOSP COMERCIAL DE PRODUTOS HOSPITALARES LTDA
For00105;02600770000109;COMERCIAL VALFARMA LTDA - EPP
For00106;08778201000126;DROGAFONTE LTDA
For00107;11896538000142;SOLUMED DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA-EPP
For00108;14261377000109;MAIS SAUDE COMERCIO DE PRODUTOS HOSPITALARES LTDA - EPP
For00109;30109731000130;IMPACTO MED EIRELI
For00110;32364822000148;TERRA SUL COMERCIO DE MEDICAMENTOS LTDA
For00111;21681325000157;MULTIFARMA COMERCIAL LTDA
For00112;29228930000189;LIGIA MARIA CARNEIRO
For00113;19570720000706;HIPOLABOR FARMACEUTICA LTDA
For00114;16553940000148;MEDMAX COMERCIO DE MEDICAMENTOS LTDA - ME
For00115;26436406000105;CENTRAL DAS FRALDAS DISTRIBUIDORA LTDA
For00116;30096901000190;TOSETTI & ARANTES LTDA
For00117;04610769000182;OFTALMICA PROLENTES LTDA
For00118;15145035000196;RIOBAHIAFARMA COMERCIO E DISTRIBUICAO DE PRODUTOS MEDICOS E COSMETICOS LTDA - EPP
For00119;12420164000904;CM HOSPITALAR S.A.
For00120;09053134000226;ELFA MEDICAMENTOS LTDA
For00121;26570361000167;PORTAL DISTRIBUIDORA HOSPITALAR LTDA
For00122;17189700000179;ANDREIA LORENZI
For00123;15182741000108;BCR COMERCIO DE PRODUTOS NUTRICIONAIS E HOSPITALARES LTDA - ME
For00124;24926663000108;L. P. SANTOS ATACADISTA - ME
For00125;05106015000152;CALL MED COMERCIO DE MEDICAMENTOS E REPRESENTACAO LTDA
For00126;07752236000123;MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES LTDA
For00127;00802002000102;ALTERMED MATERIAL MEDICO HOSPITALAR LTDA
For00128;00656468000139;SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA
For00129;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A
For00130;09192829000108;ATONS DO BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA
For00131;10596721000160;MIRANDA & GEORGINI LTDA
For00132;21608296000106;MAMED COMERCIAL LTDA - EPP
For00133;05049432000100;COMERCIO E REPRESENTAÇÃO PRADO LTDA
For00134;04355394000151;PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00135;82225947000165;A. G. KIENEN E CIA LTDA
For00136;16845253000104;MBR FERNANDES - EPP
For00137;18964366000146;RONDOLAB COMERCIO E SERVICOS LTDA
For00138;19430036000133;PERFIL HOSPITALAR LTDA - ME
For00139;12420164000319;CM HOSPITALAR LTDA
For00140;29494115000161;MEDICAM DISTRIBUIDORA DE MEDICAMENTOS E NUTRICAO LTDA
For00141;04356658000191;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA - ME
For00142;26240632000116;DENTAL HIGIX PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES EIRELI
For00143;28093678000185;F&F DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME
For00144;81706251000198;PROMEFARMA REPRESENTAÇÕES COMERCIAIS LTDA
For00145;04470877000105;MEDIGRAM DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME
For00146;25279552000101;DISTRIBUIDORA DE MEDICAMENTOS BACKES EIRELI
For00147;03411908000186;GREEN FARMACEUTICA LTDA - ME
For00148;26898124000120;FARMANORTE COMERCIO E MANIPULACAO DE MEDICAMENTOS EIRELI
For00149;73856593000166;PRATI, DONADUZZI E CIA LTDA
For00150;21595464000168;UNI HOSPITALAR CEARA LTDA - EPP
For00151;13977860000121;ATECNOMED ASSISTENCIA E COMERCIO DE PRODUTOS HOSPITALARES EIRELI
For00152;01784792000103;EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -
For00153;94516671000234;CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.
For00154;17114621000107;GO.MED DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME
For00155;25288745000129;NEW MEDIC COMERCIO ATACADISTA DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA
For00156;03330630000112;WELLINGTON MORALES LAUREANO - ME
For00157;18337759000120;DISTRIBUIDORA MERISIO LTDA - ME
For00158;01722296000117;PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA
For00159;26419311000183;LUMANN DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00160;24586988000180;CIRURGICA NOSSA SENHORA - EIRELI
For00161;09944371000104;SULMEDIC COMERCIO DE MEDICAMENTOS LTDA. - EPP
For00162;05912018000183;MERCO SOLUCOES EM SAUDE LTDA
For00163;00331788001271;AIR LIQUIDE BRASIL LTDA
For00164;33551382000109;AMC SAUDE COMERCIAL HOSPITALAR EIRELI
For00165;23312871000146;EXEMPLARMED COMERCIO DE PRODUTOS HOSPITALARES LTDA - ME
For00166;17159229000257;LABORATÓRIO TEUTO BRASILEIRO LTDA
For00167;14336329000132;SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO S.A.
For00168;11260846000187;ANBIOTON IMPORTADORA LTDA
For00169;04949905000163;F CARDOSO E CIA LTDA
For00170;07847837000110;CIENTIFICA MEDICA HOSPITALAR LTDA
For00171;21297758000103;PRO-SAUDE DISTRIBUIDORA DE MEDICAMENTOS EIRELI - ME
For00172;23228076000174;CMH - CENTRAL DE MEDICAMENTOS HOSPITALARES - EIRELI - ME
For00173;10571984000114;ASTRA FARMA COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA
For00174;07484373000124;UNI HOSPITALAR LTDA-EPP
For00175;53813267000164;CACHUCHO & CACHUCHO LTDA - ME
For00176;29907666000100;RANGEL HOSPITALAR - EIRELI
For00177;10749758000180;A. D. DAMINELLI - ME
For00178;22771751000144;V&V COMERCIO DE MEDICAMENTOS EIRELI
For00179;14115388000180;ELLO DISTRIBUICAO LTDA - ME
For00180;19872584000113;JUNIOR ZANQUI DROGARIA LTDA
For00181;11563145000117;COMERCIAL MOSTAERT LTDA
For00182;49432297000153;ANTONIO C. FIORIN & CIA LTDA
For00183;02794555000420;COLOPLAST DO BRASIL LTDA.
For00184;25631623000193;DENTAL GONTIJO LTDA
For00185;22480778000188;CIRURGICA CALIFORNIA EIRELI - ME
For00186;04106730000122;EMPORIO HOSPITALAR COMERCIO DE PRODUTOS CIRURGICOS HOSPITALARES LTDA
For00187;08183359000153;PRODIET NUTRICAO CLINICA LTDA
For00188;14192434000145;CALANDRIM & CALANDRIM DROGARIA LTDA. - EPP
For00189;01122234000174;IMPORT SERVICE MATERIAL MEDICO HOSPITALAR LTDA
For00190;32053182000155;DENTAL RONDONIA COMERCIO DE PRODUTOS PARA SAUDE LTDA
For00191;02475985000137;COVAN - COMERCIO VAREJISTA E ATACADISTA DO NORTE LTDA - ME
For00192;10656587000145;CIRURGICA MS LTDA - ME
For00193;28069066000157;OESTE MED PRODUTOS HOSPITALARES LTDA
For00194;44734671000828;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA
For00195;05443348000177;CENTERMEDICA PRODUTOS HOSPITALARES LTDA - ME
For00196;27860256000125;VITALSUL DISTRIBUIDORA DE MEDICAMENTOS - EIRELI - ME
For00197;02520829000302;DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.
For00198;07640617000110;DISTRIBUIDORA BRASIL COML DE PRODUTOS MEDICOS HOSPITALARES LTDA
For00199;20590555000148;AGIL DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME
For00200;15329061000174;DANIELA CRISTINA SOUZA SANTOS - ME
For00201;08676370000155;DISTRIBUIDORA DE MEDICAMENTOS PRO SAUDE LTDA - EPP
For00202;04162170000123;ESTRATTI VEGETALI FARMACIA E MANIPULACAO LTDA - ME
For00203;52605433000174;DROGARIA GREGIANA LTDA
For00204;01417694000120;DISTRIMIX DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00205;12340717000161;POINT SUTURE DO BRASIL IND DE FIOS CIRURGICOS LTDA
For00206;54516661008005;JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.
For00207;37844479000152;BIOLINE FIOS CIRURGICOS LTDA
For00208;17252670000106;VITALMEDICA DISTRIBUIDORA DE MOVEIS E EQUIPAMENTOS HOSPITALARES LTDA
For00209;42799163000126;BH FARMA COMÉRCIO LTDA
For00210;00339246000192;LONDRICIR COMERCIO DE MATERIAL HOSPITALAR LTDA
For00211;58426628000133;SAMTRONIC INDUSTRIA E COMERCIO LTDA
For00212;04307650001298;ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.
For00213;96681861003177;ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA
For00214;61418042000131;CIRURGICA FERNANDES LTDA
For00215;56994502000130;NOVARTIS BIOCIENCIA S/A
For00216;01056338000128;ENDOCIRURGICA - COMERCIO DE PRODUTOS MEDICOS LTDA.
For00217;28418133000100;MED VITTA COMERCIO DE PRODUTOS HOSPITALARES LTDA
For00218;32910616000196;BS DISTRIBUIDORA HOSPITALAR EIRELI
For00219;12891104000112;VIANA FARMA COMERCIO E REPRESENTACOES LTDA
For00220;00659050000185;CENTER MED COMERCIAL LTDA
For00221;33891594000127;EXCLUSIVE PRODUTOS HOSPITALARES EIRELI
For00222;33598456000154;JMS DISTRIBUIDORA HOSPITALAR EIRELI
For00223;07865568000114;LUSMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA
For00224;04372020000144;WERBRAN DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00225;21949562000156;YVMED PRODUTOS FARMACEUTICOS E HOSPITALARES EIRELI
For00226;06628333000146;FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
For00227;04274988000138;ATIVA COMERCIAL HOSPITALAR LTDA
For00228;03246587000101;SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA
For00229;25211499000379;MEDCOM COMERCIO DE MEDICAMENTOS HOSPITALARES LTDA
For00230;24826631000122;FARMA 2 PRODUTOS PARA SAUDE LTDA - EPP
For00231;54375647018093;DROGAL FARMACEUTICA LTDA
For00232;14461796000194;M.DIAS COMERCIO DE PRODUTOS HOSPITALAR EIRELI
For00233;11657058000129;Farmacia Charles e Gustavo Ltda
For00234;07344756000105;PRO-SAUDE - COMERCIO DE PRODUTOS HOSPITALARES LTDA - ME
For00235;09315996000107;COMERCIAL MARK ATACADISTA LTDA - ME
For00236;21340481000154;CDR BRASIL COMERCIAL LTDA - ME
For00237;17756574000197;MANZATOS FARMA LTDA - ME
For00238;13485130000103;PHARMA LOG PRODUTOS FARMACEUTICOS LTDA
For00239;04071245000160;LUCIMED DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MÉDICOS E HOSPITALAR
For00240;04380569000180;J R G DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES LTDA EPP
For00241;49324221001690;FRESENIUS KABI BRASIL LTDA.
For00242;61363032000146;CHIESI FARMACÊUTICA LTDA
For00243;30511964000165;MEDICAL COMERCIO DE COSMETICOS LTDA.
For00244;06886136000127;MEDCOM COMERCIO REPRESENTACOES E SERVICOS LTDA - EPP
For00245;03596923000146;MEDIMAC COMERCIO DE ARTIGOS MEDICOS LTDA - ME
For00246;32743242000161;CAVALLI COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES - EIRELI
For00247;13470384000158;CMC PRODUTOS HOSPITALARES LTDA
For00248;79250676000274;CIRÚRGICA JAW COMÉRCIO DE MATERIAIS MÉDICO HOSP. LTDA
For00249;08958628000297;ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00250;04779188000179;FASTMED COMERCIO LTDA - EPP
For00251;03840189000119;RS MED LTDA
For00252;05400006000170;FABMED DISTRIBUIDORA HOSPITALAR LTDA.
For00253;13287059000154;JAMARI COMERCIO E EMPREENDIMENTOS LTDA - EPP
For00254;82277955000155;NOVO NORDISK FARMACEUTICA DO BRASIL LTDA
For00255;10461277000175;COMODORO COMERCIAL E NUTRICAO LTDA - ME
For00256;14724626000155;NUTRISOLUTION NUTRICAO E COMERCIO DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA
For00257;56926298000110;BOLIS, MAESTRELLO & CIA LTDA
For00258;06271093008745;DMTOP COMERCIO DE MEDICAMENTOS E COSMETICOS LTDA
For00259;04851958000147;R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00260;27855189000150;M. A. GIACOMETTI DROGARIA LTDA
For00261;00064780000133;HS MED COMERCIO DE ARTIGOS HOSPITALARES LTDA - EPP
For00262;33264996000100;CAIO TRUFFI POLACOW SABBAGH
For00263;12376395000100;NUTRI ARTHI COMERCIAL LTDA - ME
For00264;52202744000192;NACIONAL COMERCIAL HOSPITALAT LTDA
For00265;00826788000190;RICARDO RUBIO - EPP
For00266;01772798000233;MEDTRONIC COMERCIAL LTDA
For00267;09260071000106;CIRURGICA KD LTDA - EPP
For00268;09460388000188;VALMIR L. RIBEIRO JUNIOR ARTIGOS MEDICOS - EPP
For00269;29346301000153;LABORATORIO FARMACEUTICO VITAMED LTDA
For00270;08160290000142;FARMAGUEDES COMERCIO DE PRODUTOS FARMACEUTICOS, MEDICOS E HOSPITALARES LTDA - ME
For00271;15218561000139;NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA - EPP
For00272;10645510000170;DISTRIBUIDORA DE MEDICAMENTOS SAUDE & VIDA LTDA - EPP
For00273;10633441000184;FUSAO COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA - ME
For00274;27330244000199;MC MEDICALL PRODUTOS MEDICO HOSPITALARES - EIRELI - ME
For00275;05746444000194;CIRURGICA PARANA - DISTRIBUIDORA DE EQUIPAMENTOS LTDA - EPP
For00276;04759433000186;FERNAMED LTDA
For00277;03894963000174;SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAL HOSPITALARES E
For00278;03748673000112;ELLO DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP
For00279;11144448000103;CONTROLL PHARMA COMERCIO DE MEDICAMENTOS LTDA - ME
For00280;00453515000147;FARMACIA GINAP LTDA
For00281;04027894000164;DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA
For00282;09137934000225;NORDICA DISTRIBUIDORA HOSPITALAR LTDA
For00283;08476077000144;SW COMÉRCIO DE MEDICAMENTOS LTDA
For00284;29036138000122;SMC FARMACEUTICA LTDA
For00285;18811390000145;INARA BRASIL DA SILVA & CIA LTDA - ME
For00286;31673254000285;LABORATORIOS B BRAUN SA
For00287;30881804000108;MAGNUS MED COMERCIO DE PRODUTOS HOSPITALARES E MEDICAMENTOS LTDA
For00288;28547190000180;GRAZIELA VELANI ABUFARES COMERCIO DE MEDICAMENTOS EIRELI
For00289;27789446000101;AGUIA DISTRIBUIDORA DE MEDICAMENTOS E SUPRIMENTOS - EIRELI - ME
For00290;28289799000105;SOS DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA
For00291;20069935000131;FARMACIA PRECO BAIXO VILHENA LTDA
For00292;11044066000108;GOLDEN FARM DISTRIBUIDORA LTDA - EPP
For00293;02814497000700;CIMED INDUSTRIA DE MEDICAMENTOS LTDA
For00294;87547444000391;ASSOCIACAO DR BARTHOLOMEU TACCHINI
For00295;84750918000148;J MARCAL SERVICOS DE PROTESE ODONTOLOGICA
For00296;04654861000144;INDALABOR INDAIA LABORATÓRIO FARMACÊUTICO LTDA
For00297;73665598000101;COMERCIO DE MEDICAMENTOS YUMIFARMA LTDA
For00298;23664355000180;INJEMED MEDICAMENTOS ESPECIAIS LTDA
For00299;18224182000140;HOSPMED COMERCIO EIRELI - EPP
For00300;29312896000126;BHDENTAL COMERCIAL EIRELI
For00301;27080739000107;PRIME SOLUCOES EM SAUDE EIRELI
For00302;02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA - ME
For00303;10972948000162;BRAZMIX COMERCIO VAREJISTA E ATACADISTA LTDA
For00304;06271093006963;DMTOP COMERCIO DE MEDICAMENTOS E COSMETICOS LTDA
For00305;80392566000145;AABA COMERCIO DE EQUIPAMENTOS MEDICOS EIRELI
For00306;08435077000104;DUTRAMED DISTRIBUIDORA LTDA - ME
For00307;09603161000144;BMD - COMERCIO DE PRODUTOS MEDICOS LTDA.
For00308;03648990000167;MC SURGICAL PRODUTOS MEDICO HOSPITALARES LTDA. - EPP
For00309;03302477000110;ROSSANE SERAFIM MATOS
For00310;54858014000501;ESSITY SOLUCOES MEDICAS DO BRASIL COMERCIO E DISTRIBUICAO LTDA.
For00311;46962122000321;CQC - TECNOLOGIA EM SISTEMAS DIAGNOSTICOS LTDA
For00312;05439635000456;ANTIBIOTICOS DO BRASIL LTDA.
For00313;07055280000184;F WILTON CAVALCANTE MONTEIRO EIRELI
For00314;22862531000126;TOP NORTE COMERCIO DE MATERIAL MEDICO HOSPITALAR EIRELI - EPP
For00315;04451626000256;PHOSPODONT LTDA
For00316;70104344000126;ENDOMED COM E REP DE MEDICAMENTOS LTDA
For00317;02771547000116;NATAN COMERCIO LTDA
For00318;10731996000169;M & A SUPRA COMERCIAL LTDA - ME
For00319;20202872000140;PROVIP DISTRIBUIDORA HOSPITALAR LTDA - EPP
For00320;10588595001092;SANOFI MEDLEY FARMACEUTICA LTDA
For00321;10854165000184;F & F DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA
For00322;58430828000160;BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA
For00323;23708186000133;VIVAMED COMERCIO E REPRESENTACAO DE MATERIAL HOSPITALAR EIRELI
For00324;10460674000122;MAX-MEDICAL COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA
For00325;05008240000156;EXATA DISTRIBUIDORA HOSPITALAR LTDA
For00326;27971020000166;VWPHARMA COMERCIO DE MEDICAMENTOS E MATERIAIS HOSPITALARES EIRELI
For00327;20627681000120;CENTER DENT SERVICO DE PROTESE DENTARIA LTDA
For00328;12308388000171;RMW MEDICAMENTOS E MATERIAIS HOSPITALARES EIRELI - EPP
For00329;08674752000140;CIRURGICA MONTEBELLO LTDA
For00330;33673687000185;J J SOUZA COMERCIO DE PRODUTOS MEDICOS HOSPITALARES EIRELI
For00331;33398831000112;FENIX COMERCIO DE PRODUTOS HOSPITALARES LTDA
For00332;19391064000199;LUVERMED DISTRIBUIDORA DE MEDICAMENTOS LTDA
For00333;19558081000178;CFV COMERCIO DE PRODUTOS NUTRICIONAIS, NATURAIS E ORGANICOS EIRELI
For00334;01409230000171;WOORD & MAURO LTDA
For00335;17263792000190;REALMED DISTRIBUIDORA LTDA - EPP
For00336;24868172000140;CASTROMED MEDICAMENTOS E MATERIAIS MEDICOS E HOSPITALARES EIRELI - EPP
For00337;06059923000103;CELIA DA CUNHA FRANCA EIRELI
For00338;05194502000467;ALFALAGOS LTDA.
For00339;06294126000100;RS - PRODUTOS HOSPITALARES LTDA
For00340;30036611000150;ECOFARMA COMERCIO DE MEDICAMENTOS EIRELI
For00341;82873068000735;GENESIO A MENDES & CIA LTDA
For00342;64171697000146;ACCORD FARMACÊUTICA LTDA
For00343;71336101000186;VALE COMERCIAL LTDA
For00344;09053134000145;ELFA MEDICAMENTOS LTDA
